fecha,ventas,cono sin aderezo,freddo simple,tulipan simple
2022-January,6545.72,358,1205,32
2022-February,8374.5,449,1409,48
2022-March,9887.53,518,1817,35
2022-April,10777.4,567,1840,54
2022-May,10079.33,552,1803,42
2022-June,8973.13,433,1656,40
2022-July,10062.54,576,1721,25
2022-August,11411.58,621,2172,49
2022-September,10735.64,705,1969,52
2022-October,11479.01,687,1843,47
2022-November,10207.56,749,1880,46
2022-December,13167.73,880,2392,48
2023-January,11401.79,672,2158,44
2023-February,11492.58,638,2032,41
2023-March,14720.98,919,2576,53
2023-April,15880.43,990,2983,76
2023-May,13713.97,779,2389,61
2023-June,12493.85,816,2101,68
2023-July,14610.63,863,2551,75
2023-August,13381.72,803,2402,63
2023-September,12324.13,693,2057,49
2023-October,12723.31,912,2502,56
2023-November,11893.3,737,2188,58
2023-December,15302.32,993,3073,94
2024-January,11497.05,600,2096,44
2024-February,12197.23,693,2159,58
2024-March,14766.5,838,2946,104
2024-April,14024.49,873,2903,74
2024-May,11885.19,769,2203,62
2024-June,11491.74,673,2093,62
2024-July,10138.24,703,2079,59
2024-August,11153.1,611,1934,52
2024-September,11130.09,789,2238,58
2024-October,13687.78,874,2745,68
2024-November,12780.9,983,2734,77
2024-December,15034.07,1055,3409,57
